d,uh,u
0,0.166667,0.166667
0.0005,0.166667,0.166667
0.001,0.166667,0.166667
0.0015,0.166667,0.166667
0.002,0.166667,0.166667
0.0025,0.166667,0.166667
0.003,0.166667,0.166667
0.0035,0.166667,0.166667
0.004,0.166667,0.166667
0.0045,0.166667,0.166667
0.005,0.166667,0.166667
0.0055,0.166667,0.166667
0.006,0.166667,0.166667
0.0065,0.166667,0.166667
0.007,0.166667,0.166667
0.0075,0.166667,0.166667
0.008,0.166667,0.166667
0.0085,0.166667,0.166667
0.009,0.166667,0.166667
0.0095,0.166667,0.166667
0.01,0.166666,0.166666
0.0105,0.166666,0.166666
0.011,0.166666,0.166666
0.0115,0.166666,0.166666
0.012,0.166666,0.166666
0.0125,0.166666,0.166666
0.013,0.166666,0.166666
0.0135,0.166666,0.166666
0.014,0.166666,0.166666
0.0145,0.166666,0.166666
0.015,0.166666,0.166666
0.0155,0.166666,0.166666
0.016,0.166666,0.166666
0.0165,0.166666,0.166666
0.017,0.166666,0.166666
0.0175,0.166666,0.166666
0.018,0.166666,0.166666
0.0185,0.166666,0.166666
0.019,0.166666,0.166666
0.0195,0.166665,0.166665
0.02,0.166665,0.166665
0.0205,0.166665,0.166665
0.021,0.166665,0.166665
0.0215,0.166665,0.166665
0.022,0.166665,0.166665
0.0225,0.166665,0.166665
0.023,0.166665,0.166665
0.0235,0.166665,0.166665
0.024,0.166664,0.166664
0.0245,0.166664,0.166664
0.025,0.166664,0.166664
0.0255,0.166664,0.166664
0.026,0.166664,0.166664
0.0265,0.166664,0.166664
0.027,0.166663,0.166663
0.0275,0.166663,0.166663
0.028,0.166663,0.166663
0.0285,0.166663,0.166663
0.029,0.166663,0.166663
0.0295,0.166662,0.166662
0.03,0.166662,0.166662
0.0305,0.166662,0.166662
0.031,0.166662,0.166662
0.0315,0.166661,0.166661
0.032,0.166661,0.166661
0.0325,0.166661,0.166661
0.033,0.166661,0.166661
0.0335,0.16666,0.16666
0.034,0.16666,0.16666
0.0345,0.16666,0.16666
0.035,0.16666,0.16666
0.0355,0.166659,0.166659
0.036,0.166659,0.166659
0.0365,0.166659,0.166659
0.037,0.166658,0.166658
0.0375,0.166658,0.166658
0.038,0.166658,0.166658
0.0385,0.166657,0.166657
0.039,0.166657,0.166657
0.0395,0.166656,0.166656
0.04,0.166656,0.166656
0.0405,0.166656,0.166656
0.041,0.166655,0.166655
0.0415,0.166655,0.166655
0.042,0.166654,0.166654
0.0425,0.166654,0.166654
0.043,0.166653,0.166653
0.0435,0.166653,0.166653
0.044,0.166652,0.166652
0.0445,0.166652,0.166652
0.045,0.166651,0.166651
0.0455,0.166651,0.166651
